b1143,ymfI
b1144,ymfJ
b1145,cohE
b1146,croE
b1147,ymfL
b1148,ymfM
b4692,oweE
b4693,aaaE
b1150,ymfR
b1151,beeE
b1152,jayE
b1153,ymfQ
b1154,stfP
b1155,tfaP
b1156,tfaE
b1157,stfE
b1158,pinE
b1159,mcrA
b4519,icdC
b1160,iraM
b1161,ycgX
b1162,ycgE
b1163,ycgF
b1164,ycgZ
b1165,ymgA
b1166,ariR
b1167,ymgC
b1168,ycgG
b4520,ymgF
b4491,ycgH
b1171,ymgD
b1172,ymgG
b4593,ymgI
b4594,ymgJ
b4521,ycgI
b1174,minE
b1175,minD
b1176,minC
b1177,ycgJ
b1178,pliG
b1179,ycgL
b1180,ycgM
b1181,ycgN
b1182,hlyE
b1183,umuD
b1184,umuC
b1185,dsbB
b1186,nhaB
b1187,fadR
b1188,ycgB
b1189,dadA
b1190,dadX
b1191,cvrA
b1192,ldcA
b1193,emtA
b1194,ycgR
b1195,ymgE
b1196,ycgY
b1197,treA
b1198,dhaM
b1199,dhaL
b1200,dhaK
b1201,dhaR
b1202,ycgV
b1203,ychF
b1204,pth
b1205,ychH
b1206,ychM
b1207,prs
b1208,ispE
b1209,lolB
b1210,hemA
b1211,prfA
b1212,prmC
b1213,ychQ
b1214,ychA
b1215,kdsA
b4419,ldrA
b4420,rdlA
b4421,ldrB
b4422,rdlB
b4423,ldrC
b4424,rdlC
b1216,chaA
b1217,chaB
b1218,chaC
b1219,ychN
b1220,ychO
b1221,narL
b1222,narX
b1223,narK
b1224,narG
b1225,narH
b1226,narJ
b1227,narI
b4425,rttR
b1229,tpr
b1230,tyrV
b1231,tyrT
b1232,purU
b1233,ychJ
b1234,rssA
b1235,rssB
b1236,galU
b1237,hns
b1238,tdk
b4573,insZ
b1241,adhE
b1242,ychE
b1243,oppA
b1244,oppB
b1245,oppC
b1246,oppD
b1247,oppF
b1248,yciU
b1249,cls
b4595,yciY
b1250,kch
b1251,yciI
b1252,tonB
b1253,yciA
b1254,yciB
b1255,yciC
b1256,ompW
b1257,yciE
b1258,yciF
b1259,yciG
b1260,trpA
b1261,trpB
b1262,trpC
b1263,trpD
b1264,trpE
b1265,trpL
b1266,yciV
b1267,yciO
b1268,yciQ
b1269,rluB
b1270,btuR
b1271,yciK
b1272,sohB
b1273,yciN
b1274,topA
b1275,cysB
b4522,ymiA
b4523,yciX
b1276,acnA
b1277,ribA
b1278,pgpB
b1279,yciS
b1280,yciM
b1281,pyrF
b1282,yciH
b1283,osmB
b1284,yciT
b4596,yciZ
b1285,gmr
b4672,ymiB
b1286,rnb
b1287,yciW
b1288,fabI
b1289,ycjD
b1290,sapF
b1291,sapD
b1292,sapC
b1293,sapB
b1294,sapA
b1295,ymjA
b1296,puuP
b1297,puuA
b1298,puuD
b1299,puuR
b1300,puuC
b1301,puuB
b1302,puuE
b1303,pspF
b1304,pspA
b1305,pspB
b1306,pspC
b1307,pspD
b1308,pspE
b1309,ycjM
b1310,ycjN
b1311,ycjO
b1312,ycjP
b1313,ycjQ
b1314,ycjR
b1315,ycjS
b1316,ycjT
b1317,ycjU
b4524,ycjV
b1319,ompG
b1320,ycjW
b1321,ycjX
b1322,ycjF
b1323,tyrR
b1324,tpx
b1325,ycjG
b1326,mpaA
b4525,ymjC
b4673,ymjD
b1327,ycjY
b1328,ycjZ
b1329,mppA
b1330,ynaI
b1331,insH
b1332,ynaJ
b1333,uspE
b1334,fnr
b1335,ogt
b1336,abgT
b1337,abgB
b1338,abgA
b1339,abgR
b4426,isrA
b1340,smrA
b1341,ydaM
b1342,ydaN
b4699,fnrS
b1343,dbpA
b1344,ttcA
b1345,intR
b1346,ydaQ
b1347,ydaC
b1348,ralR
b1349,recT
b1350,recE
b1351,racC
b4526,ydaE
b1352,kilR
b1353,sieB
b4527,ydaF
b1355,ydaG
b1356,racR
b1357,ydaS
b1358,ydaT
b1359,ydaU
b1360,ydaV
b1361,ydaW
b1362,rzpR
b4528,rzoR
b1363,trkG
b1365,ynaK
b1366,ydaY
b1368,ynaA
b4570,lomR
b1370,insH
b1372,stfR
b1373,tfaR
b1374,pinR
b1375,ynaE
